,GSM00001
CSNK2A1,0.00000126
IL10RB,0.00000126
AQP3,0.00000126
CXCR3,0.00000126
ZFP41,0.00000126
TEX261,0.00000125
CST11,0.00000125
TXLNG,0.00000125
CCDC65,0.00000125
NR2F6,0.00000125
DYNC1H1,0.00000124
IDS,0.00000124
DAPP1,0.00000124
ANKUB1,0.00000124
PPP1R3F,0.00000123
GPSM1,0.00000123
RNFT1,0.00000123
CC2D2A,0.00000123
ORM1,0.00000123
CRYAA,0.00000123
MROH9,0.00000123
DNAH5,0.00000122
TGFBR2,0.00000122
AGGF1,0.00000122
CFAP54,0.00000122
PER2,0.00000121
NEDD4,0.00000121
CLEC4A2,0.00000121
CHST14,0.00000121
FGB,0.00000121
ST7,0.0000012
RIPK1,0.0000012
TKTL2,0.0000012
TMEM126A,0.0000012
TPRN,0.00000119
CRYGB,0.00000119
ACADSB,0.00000119
TBC1D14,0.00000118
NIFK,0.00000118
FGA,0.00000118
L3MBTL3,0.00000118
LIPI,0.00000118
XDH,0.00000118
MOV10,0.00000117
SLC11A2,0.00000117
MRVI1,0.00000117
SIKE1,0.00000117
TMEM184A,0.00000117
MTFMT,0.00000117
THEMIS2,0.00000117
FCMR,0.00000117
PDS5B,0.00000117
RGS13,0.00000117
APOBR,0.00000116
RBKS,0.00000116
NAA38,0.00000116
KDM2A,0.00000116
AMBN,0.00000116
APOBEC4,0.00000116
AKR1E1,0.00000115
CTNNA3,0.00000115
EIF1AX,0.00000114
DOCK6,0.00000114
SLC35G1,0.00000114
B3GNT9,0.00000114
UBQLN3,0.00000114
CCR1,0.00000113
CCDC50,0.00000113
HNF4G,0.00000113
NT5DC2,0.00000113
ENTPD8,0.00000113
TM2D2,0.00000113
SH3BP1,0.00000113
BAG3,0.00000112
MFAP4,0.00000112
ZKSCAN8,0.00000112
PHF6,0.00000112
PSMD10,0.00000112
ASAP3,0.00000112
KDELC2,0.00000112
TRIM28,0.00000111
PKIG,0.00000111
SESN2,0.00000111
PSMA8,0.00000111
CEP152,0.00000111
PIK3R6,0.00000111
NAALADL1,0.00000111
RNASE1,0.0000011
EHF,0.0000011
PCDHB15,0.0000011
DPY19L2,0.0000011
SERPINA6,0.0000011
CCL11,0.00000109
TMEM98,0.00000109
MOSPD1,0.00000109
KDM4C,0.00000109
H2AFJ,0.00000109
UBXN2B,0.00000109
CBFA2T2,0.00000109
ASXL2,0.00000109
RELT,0.00000109
WDR81,0.00000109
GJA1,0.00000108
IL18R1,0.00000108
IKZF2,0.00000108
FPR-RS3,0.00000108
ARMC12,0.00000108
CHSY1,0.00000108
DDHD2,0.00000108
HEATR4,0.00000108
BCL2L10,0.00000107
KIF9,0.00000107
ACVR1,0.00000106
CTNNB1,0.00000106
KMT2C,0.00000106
S1PR2,0.00000106
NPB,0.00000106
TCN2,0.00000106
IL33,0.00000105
ETHE1,0.00000105
RTKN2,0.00000105
ZFP280C,0.00000105
SMURF2,0.00000105
GALNT15,0.00000105
PCDHB13,0.00000105
PRKACB,0.00000104
EPYC,0.00000104
BRDT,0.00000104
CD53,0.00000104
SERPINH1,0.00000104
SLC51A,0.00000104
FBXO6,0.00000103
DPPA3,0.00000103
CSGALNACT2,0.00000103
ERN1,0.00000102
BIRC3,0.00000102
AKAP3,0.00000102
TMEM144,0.00000102
CD164L2,0.00000102
RPS3,0.00000102
PRELID2,0.00000102
INTS10,0.00000102
ATP9B,0.00000102
SLC6A16,0.00000102
TSPAN32,0.00000101
TRMT2B,0.00000101
APH1B,0.00000101
KHNYN,0.00000101
OSTF1,0.00000101
VTCN1,0.00000101
MPST,0.000001
BBOX1,0.000001
IDO2,0.000001
PHF8,0.000001
SNX18,0.000000997
SEC23B,0.000000996
RPL8,0.000000996
OLFML2A,0.000000992
SF3A2,0.000000991
MYLK2,0.00000099
PRICKLE4,0.000000989
C1RA,0.000000987
OTULIN,0.000000987
CNPY3,0.000000986
TPRKB,0.000000985
SFN,0.000000985
SETD7,0.000000981
OMA1,0.000000979
MARK3,0.000000977
NMUR2,0.000000977
PIGP,0.000000976
MPP4,0.000000973
PHF19,0.00000097
CHD3,0.000000968
LCT,0.000000968
PARS2,0.000000967
STIM2,0.000000966
GULP1,0.000000964
TOR2A,0.000000961
ANKRD50,0.00000096
XXYLT1,0.00000096
FCGRT,0.000000958
CCDC112,0.000000956
MCTP2,0.000000954
FLNB,0.000000949
SEMA4B,0.000000949
SYNPO2L,0.000000947
CANT1,0.000000946
BEND5,0.000000937
FAIM,0.000000933
ZFP296,0.000000933
SERPINB6B,0.000000932
PNPLA2,0.000000932
IAH1,0.000000931
GOLGB1,0.000000931
PARP9,0.000000928
SESN1,0.000000927
NINJ2,0.000000924
CHPT1,0.000000924
RBMS3,0.000000924
GLRX3,0.000000923
CCDC71,0.000000918
EED,0.000000914
TRAF3IP1,0.000000911
BNIP2,0.000000909
GALNT7,0.000000909
SLC51B,0.000000909
TPRG,0.000000908
CTF1,0.000000908
PFPL,0.000000904
APOC3,0.000000902
APOL8,0.0000009
B3GNT3,0.000000899
KHDC3,0.000000899
NCOR2,0.000000899
ZFAT,0.000000898
CARHSP1,0.000000888
AHRR,0.000000888
TERF1,0.000000885
QK,0.000000882
SLCO1A6,0.000000882
PRSS54,0.000000881
CCR1L1,0.00000088
NMRK1,0.000000879
CYP2D26,0.000000878
PLXNA1,0.000000877
EPB41L5,0.000000873
PABPC6,0.000000871
CCS,0.000000871
SGCA,0.00000087
SUN2,0.00000087
CROCC,0.000000869
GDI1,0.000000868
VGLL1,0.000000867
BECN1,0.000000867
PHF3,0.000000865
S1PR4,0.000000864
AGO1,0.000000861
ACVR2B,0.00000086
TPCN1,0.000000859
SDF4,0.000000858
SLAMF6,0.000000857
S100A16,0.000000855
POLM,0.000000852
SLC23A1,0.00000085
SLC29A4,0.00000085
RNF40,0.00000085
OLFML3,0.000000846
FAT2,0.000000844
SAMD9L,0.000000843
INSL6,0.000000841
IMPAD1,0.000000838
GM11397,0.000000837
MTA1,0.000000832
CCDC7A,0.000000832
MYCBP2,0.000000832
FIZ1,0.000000831
SYT11,0.00000083
PLA2G10,0.00000083
SCPEP1,0.000000829
CD19,0.000000829
TFE3,0.000000828
FUBP3,0.000000821
AES,0.000000819
IFIT3,0.000000819
ELF2,0.000000817
EIF2D,0.000000815
PIK3CG,0.000000813
FMR1,0.000000812
CTDSP2,0.000000812
SUCO,0.000000809
CARD6,0.000000808
TRAF6,0.000000807
ZBTB24,0.000000806
FAM50A,0.000000805
PAPSS2,0.000000804
AATF,0.000000804
SEMA3C,0.000000803
WIZ,0.0000008
GPHA2,0.000000799
SPOP,0.000000797
CLEC5A,0.000000797
ATXN7,0.000000797
MCM2,0.000000796
FAM111A,0.000000794
S100A1,0.000000793
IVD,0.000000792
ADGRF4,0.000000791
NATD1,0.00000079
CD320,0.000000789
SMARCA5,0.000000789
THEM5,0.000000789
CTSA,0.000000789
PSMG2,0.000000787
CRISP4,0.000000787
BATF2,0.000000786
ABCC1,0.000000782
BTF3,0.000000782
YJEFN3,0.000000782
CD28,0.000000781
PBX3,0.000000781
CHD6,0.000000774
ESCO2,0.000000774
DNASE1L1,0.000000774
SLC22A19,0.000000771
LRMP,0.00000077
SPACA1,0.000000766
USP6NL,0.000000764
VCAM1,0.000000762
ZMYND12,0.000000761
FYN,0.000000759
CD200R1,0.000000758
ABAT,0.000000758
OGT,0.000000756
MIF4GD,0.000000755
MNDAL,0.000000755
SYNGR4,0.000000754
DEK,0.000000754
IFT140,0.000000751
ANKRD39,0.00000075
KRBA1,0.000000748
RHAG,0.000000746
SRPK2,0.000000745
CCDC171,0.000000745
UXT,0.000000744
RABGAP1L,0.000000744
TOMM7,0.000000744
ZFP362,0.000000744
TUBB1,0.000000741
CFL2,0.000000737
SHKBP1,0.000000737
TTC23L,0.000000737
YIPF6,0.000000736
FAM210B,0.000000734
NEK5,0.000000734
ABHD4,0.000000733
HAUS5,0.000000733
CDIP1,0.00000073
CMA1,0.000000729
TCP11L2,0.000000729
LAMP2,0.000000726
FAM184B,0.000000724
ZBTB21,0.000000724
HFE,0.000000722
CLK4,0.000000722
SLC6A9,0.000000721
VILL,0.000000717
RPS6KA5,0.000000717
TMBIM1,0.000000716
TIMM8A1,0.000000715
FHL3,0.000000715
RBM41,0.000000714
PLCH1,0.000000714
REM1,0.000000712
SLC25A37,0.00000071
SLC25A39,0.00000071
ATP6V0D2,0.000000709
EOGT,0.000000708
JADE3,0.000000708
HGFAC,0.000000707
SLC35D1,0.000000706
MNS1,0.000000705
AKNAD1,0.000000705
PRSS42,0.000000704
NOD1,0.000000702
CTTNBP2NL,0.000000701
TOP3B,0.000000701
PRIM2,0.0000007
CPT2,0.000000699
FGR,0.000000699
SMAD3,0.000000699
CCL7,0.000000698
GDF9,0.000000696
BRD1,0.000000695
BDKRB1,0.000000695
LETM2,0.000000693
LGALS2,0.000000692
FANCE,0.000000692
ODF1,0.00000069
BAZ1A,0.00000069
ARAP1,0.000000689
IGBP1,0.000000688
SLC20A1,0.000000688
CIDEC,0.000000688
TECTB,0.000000685
RAD51D,0.000000683
JAK3,0.000000681
SLC27A3,0.000000681
GYPA,0.00000068
KHDC1B,0.00000068
FES,0.000000679
BCL7C,0.000000678
FRK,0.000000677
MINPP1,0.000000673
EXOC2,0.000000672
SUSD6,0.000000672
ABHD5,0.000000671
C1RB,0.00000067
ST6GALNAC4,0.000000667
ANKRD36,0.000000667
EPS15L1,0.000000666
PIGT,0.000000662
SOCS6,0.000000661
NAT8,0.00000066
PIWIL2,0.00000066
KLRD1,0.000000658
FAM170A,0.000000657
MBTPS2,0.000000656
STRC,0.000000655
SLC27A1,0.000000655
SLC2A12,0.000000655
TIPARP,0.000000653
CISH,0.000000653
EZR,0.000000652
PARP8,0.000000652
DMP1,0.00000065
HGD,0.000000647
SSBP2,0.000000646
ZFP839,0.000000646
PDE6A,0.000000644
NUCB2,0.000000643
FAM118A,0.000000641
IL34,0.000000638
FMR1NB,0.000000638
GAN,0.000000636
GZMB,0.00000063
ZFP438,0.00000063
TXNIP,0.000000629
PLA2G5,0.000000629
RAP2B,0.000000629
SMPD2,0.000000628
CCIN,0.000000628
GUCA1B,0.000000625
SERPINB2,0.000000624
ANGPTL8,0.000000623
AKAP14,0.000000623
HJURP,0.000000621
ATG4A,0.000000621
RNF111,0.00000062
DUSP21,0.000000618
GBP8,0.000000616
PLXNB1,0.000000616
SMC3,0.000000616
MALSU1,0.000000615
MYL7,0.000000615
RLN1,0.000000614
VTN,0.000000613
EPHA5,0.000000612
TEX101,0.000000612
SLC25A30,0.000000611
SSH3,0.000000611
CRADD,0.000000609
MMP7,0.000000609
GRAMD4,0.000000609
EAF2,0.000000608
FAM227B,0.000000607
HSPB3,0.000000604
FEZ2,0.000000599
UNC45A,0.000000595
AMFR,0.000000594
TTLL3,0.000000591
ASPH,0.00000059
ZC2HC1B,0.00000059
PLD2,0.000000586
SNN,0.000000586
RNF149,0.000000586
RPS6KC1,0.000000586
MEPCE,0.000000585
CKLF,0.000000582
CD80,0.000000582
NTN4,0.000000582
GNB2,0.000000579
PRDX4,0.000000577
PFKFB2,0.000000577
PELI1,0.000000576
CNOT6L,0.000000576
ADGRF5,0.000000573
PACS2,0.000000572
ADAD1,0.000000571
FIGNL1,0.000000571
VWA5A,0.00000057
CCDC24,0.000000568
GON4L,0.000000567
SLC39A14,0.000000565
FXYD3,0.000000563
CES2F,0.000000563
CYTH1,0.000000561
ELOVL3,0.000000561
LAGE3,0.000000561
CRISP2,0.00000056
TIRAP,0.000000559
APPL2,0.000000559
TTC23,0.000000557
NDUFAF2,0.000000556
SCARB2,0.000000555
STPG3,0.000000554
DCAF8,0.000000554
SMPDL3A,0.000000553
WDR38,0.000000551
AMTN,0.00000055
GNAT2,0.000000549
HPF1,0.000000548
IPO5,0.000000546
DDIT4,0.000000544
PPP1R1C,0.000000542
TNFSF4,0.00000054
SCN7A,0.00000054
TPM4,0.00000054
LRRC66,0.00000054
RBP2,0.000000539
TCF3,0.000000538
NLRX1,0.000000537
NPHP1,0.000000536
USP28,0.000000536
PRSS35,0.000000534
ARAF,0.000000532
XLR5B,0.000000531
ZBTB43,0.000000531
ACAA1A,0.000000531
RHOQ,0.000000529
LPP,0.000000523
ANKEF1,0.000000522
PNP2,0.000000522
TRRAP,0.00000052
AQP12,0.000000519
NRROS,0.000000518
USP53,0.000000517
COPG2,0.000000517
RBM22,0.000000516
NANP,0.000000515
LMAN2,0.000000514
FAM160B2,0.000000514
CD5L,0.000000513
SRPK3,0.000000512
RAB25,0.000000511
B4GALT2,0.000000511
GGH,0.000000511
TRIM34A,0.00000051
SLC38A9,0.00000051
SCAMP2,0.000000509
STAG2,0.000000509
ANKRD28,0.000000509
IL12A,0.000000508
CLDN34C1,0.000000508
ANKFY1,0.000000506
DPM3,0.000000506
SAMM50,0.000000505
TRAPPC6A,0.000000504
HDAC7,0.000000504
NNT,0.0000005
ESRRA,0.000000499
SLC35D2,0.000000499
GNPDA2,0.000000497
ABCF2,0.000000496
RNF19A,0.000000494
OSBPL9,0.000000494
RNASE4,0.000000494
RHBDD1,0.000000494
SLC22A26,0.00000049
SLC25A41,0.00000049
MSGN1,0.000000488
TUSC1,0.000000486
FBXW19,0.000000485
NLRP4A,0.000000483
STX6,0.000000482
MGAT4B,0.000000482
LGI4,0.000000482
GKAP1,0.000000481
HERPUD2,0.00000048
CLEC4N,0.000000479
HECA,0.000000479
ROCK2,0.000000478
FKRP,0.000000477
MBOAT4,0.000000475
SAP30L,0.000000474
NHEJ1,0.000000474
CCDC175,0.000000474
CD52,0.000000474
C1QTNF6,0.000000473
SACS,0.000000471
UMPS,0.00000047
PCDHB2,0.000000469
CC2D2B,0.000000469
DUSP11,0.000000468
ZSCAN2,0.000000466
ACOT3,0.000000465
SPINK5,0.000000465
ULK4,0.000000465
EMP3,0.000000464
CP,0.000000464
CTSG,0.000000464
SLC38A2,0.000000464
NXPE2,0.000000464
RNF145,0.000000464
SEMA4D,0.000000463
GP6,0.000000463
ITGB6,0.000000462
FMO3,0.000000462
FGD2,0.000000461
PI4K2B,0.00000046
BRAF,0.00000046
SPIRE1,0.00000046
PLEKHA4,0.000000459
SLC25A51,0.000000459
TBC1D2B,0.000000459
CCDC71L,0.000000459
UCKL1,0.000000457
NT5DC1,0.000000456
TTC26,0.000000454
PPIL4,0.000000453
TAOK3,0.000000452
FAM126A,0.000000451
IFT57,0.00000045
ACTR2,0.00000045
SCGB3A2,0.000000449
PPARD,0.000000448
PTOV1,0.000000447
TNPO1,0.000000447
PEAK1,0.000000447
E2F1,0.000000444
C6,0.000000444
CLEC4B1,0.000000443
GPR180,0.000000441
DCXR,0.000000441
OS9,0.000000441
STIM1,0.000000441
YIPF4,0.00000044
OLFR480,0.000000438
PDP1,0.000000437
MMADHC,0.000000435
CDC34,0.000000435
CDKL2,0.000000435
GC,0.000000434
NR0B2,0.000000434
TRAPPC3,0.000000433
MTMR11,0.000000433
UVRAG,0.000000433
PGM2,0.000000432
WDPCP,0.000000431
PRR30,0.000000431
CDC25A,0.00000043
PGF,0.000000429
BLMH,0.000000429
ZFP281,0.000000428
MAGEA4,0.000000426
TPM2,0.000000425
POLR1D,0.000000425
SMTN,0.000000422
TTBK2,0.000000421
PARP10,0.000000421
TEX37,0.00000042
SNF8,0.00000042
ARID5B,0.000000419
MSANTD2,0.000000419
MAGEA6,0.000000418
ADAM21,0.000000418
SPATA6,0.000000416
ERC1,0.000000416
TBC1D31,0.000000415
DBP,0.000000414
ABCF1,0.000000414
DAZL,0.000000413
TNP1,0.000000411
DDX18,0.000000411
STAP1,0.000000411
PIGX,0.000000411
ABRA,0.000000411
RTP3,0.00000041
MRPS6,0.000000409
NAGA,0.000000408
RNF130,0.000000407
MPL,0.000000406
XPNPEP1,0.000000405
CCL5,0.000000404
WRB,0.000000403
NRF1,0.000000402
ACSM3,0.000000401
APOOL,0.0000004
RCCD1,0.0000004
CSF2,0.000000399
NPEPL1,0.000000399
TET3,0.000000399
LNX2,0.000000398
CDH17,0.000000397
ACOX3,0.000000397
ZFP738,0.000000397
ABCA9,0.000000396
MMRN1,0.000000393
TRIM11,0.000000392
PLIN2,0.000000392
DOK2,0.000000391
CDKAL1,0.000000391
THADA,0.000000391
DKC1,0.00000039
ADH1,0.000000389
FAM221A,0.000000389
VRK2,0.000000388
RDM1,0.000000386
HSD17B4,0.000000384
CRTAP,0.000000383
EPB41L4A,0.000000382
CDK20,0.000000381
ARHGAP5,0.000000381
HOOK3,0.000000381
RANBP3L,0.00000038
SDHB,0.000000379
CD55B,0.000000377
CERS6,0.000000377
ZYX,0.000000376
CCDC174,0.000000376
DYNC2H1,0.000000375
TRIM75,0.000000375
SLC26A2,0.000000374
YIPF7,0.000000373
NMRAL1,0.000000373
BEX6,0.000000373
CCNG2,0.000000372
GABRA3,0.000000372
SLCO1C1,0.000000372
ASB16,0.000000372
TMEM218,0.000000371
HEMK1,0.000000371
SRGAP1,0.000000371
PDK2,0.000000371
CEP55,0.00000037
TAF1A,0.000000369
DMC1,0.000000369
FRRS1,0.000000369
MLIP,0.000000369
IRF2BP2,0.000000369
THRA,0.000000368
H1FX,0.000000368
TMPRSS11E,0.000000368
SYT12,0.000000366
AGO2,0.000000366
ZFP110,0.000000366
PPTC7,0.000000366
TMED1,0.000000365
ARHGAP32,0.000000364
CYBA,0.000000364
PML,0.000000363
MXD4,0.000000361
MPP1,0.000000359
CYB5R4,0.000000359
GRPEL1,0.000000357
FAM129C,0.000000357
DGAT1,0.000000355
MAX,0.000000355
MYO1E,0.000000354
PPP1R18,0.000000353
SRFBP1,0.000000352
NLGN2,0.000000352
ACAA1B,0.000000351
NPR2,0.000000351
ASPSCR1,0.00000035
CBFB,0.00000035
TAF8,0.000000349
GBA,0.000000349
DYNC1I2,0.000000348
NONO,0.000000347
STT3B,0.000000345
RAVER1,0.000000345
MORC2A,0.000000345
OAZ1,0.000000345
NDUFA1,0.000000344
GM5483,0.000000344
TANC2,0.000000343
MIPOL1,0.000000342
NUP155,0.000000341
CLCC1,0.000000341
FBXW27,0.000000341
SERPINB9G,0.00000034
LY6G6C,0.00000034
COLGALT1,0.00000034
PLEKHG2,0.000000339
NXPE4,0.000000339
SEMA3A,0.000000338
FAM32A,0.000000338
SMIM22,0.000000338
BRWD3,0.000000337
TRP53INP1,0.000000336
GZMD,0.000000336
SMARCA4,0.000000335
GZMF,0.000000334
SMCO2,0.000000333
GM11554,0.000000332
GZMG,0.000000332
CST8,0.000000332
ALDOC,0.000000331
PLAC8L1,0.000000331
JCHAIN,0.00000033
CXCL11,0.000000329
ARMCX3,0.000000329
CEP112,0.000000329
SPEM1,0.000000329
NELFCD,0.000000328
MFGE8,0.000000327
CES2G,0.000000327
ALLC,0.000000327
CSRNP1,0.000000327
PNP,0.000000326
ANG,0.000000326
RHO,0.000000325
TNFSFM13,0.000000325
SH3D19,0.000000324
RTP4,0.000000324
ELMO2,0.000000324
RPL7,0.000000323
ROM1,0.000000322
ART4,0.000000322
KIF4,0.000000322
UBTF,0.000000321
CLP1,0.00000032
RABEPK,0.000000319
DUSP16,0.000000318
MFAP1B,0.000000318
SERF2,0.000000318
MMGT1,0.000000318
SRGN,0.000000317
ENTPD1,0.000000317
MAP4K5,0.000000317
ACCS,0.000000317
LRCH4,0.000000317
SMCO1,0.000000316
SLC25A23,0.000000315
INTS7,0.000000315
CYLD,0.000000315
CREBRF,0.000000315
PARP4,0.000000315
TLR6,0.000000313
WDR36,0.000000313
KAT6A,0.000000313
CD59A,0.000000312
LTC4S,0.000000312
ZBTB40,0.000000309
FAM234A,0.000000308
PEX11G,0.000000307
ADAMTS4,0.000000307
MXD1,0.000000306
HPS6,0.000000298
TMEM175,0.000000298
FSHR,0.000000297
SMAGP,0.000000296
IKBKB,0.000000296
RNF166,0.000000296
SH3BGRL,0.000000295
RFC3,0.000000295
RABL6,0.000000294
PRF1,0.000000294
HDDC3,0.000000293
RLF,0.000000292
FAM71D,0.000000292
RETNLA,0.000000292
CCDC169,0.00000029
ENDOU,0.00000029
MAP4K4,0.000000289
LDHB,0.000000288
CHIC2,0.000000288
ATR,0.000000287
HTT,0.000000286
ATG14,0.000000286
TSNAXIP1,0.000000285
ILTIFB,0.000000285
MAPK6,0.000000284
RNF113A2,0.000000284
EZH2,0.000000283
METTL21A,0.000000283
AICDA,0.000000283
EXO5,0.000000283
IFRD1,0.000000282
WAPL,0.00000028
STAU1,0.000000279
EFCAB14,0.000000279
INTS9,0.000000279
ZFP638,0.000000277
CIT,0.000000277
PPFIBP1,0.000000277
ANXA7,0.000000276
DIO1,0.000000275
TCF12,0.000000274
EIF4EBP1,0.000000273
BID,0.000000272
OLFR701,0.000000272
MKS1,0.000000272
WDR45,0.000000271
YOD1,0.000000271
KMT2A,0.00000027
HDAC2,0.00000027
EMC10,0.000000269
MBTPS1,0.000000269
CPA6,0.000000269
TIMP1,0.000000269
MMP20,0.000000268
C1S1,0.000000268
TBC1D15,0.000000267
RASSF3,0.000000267
SAA1,0.000000267
DNAJC1,0.000000267
GNB1L,0.000000265
TCOF1,0.000000265
ATP2C1,0.000000265
ETFA,0.000000262
COG6,0.000000261
TXK,0.00000026
MDM1,0.00000026
COQ8A,0.000000259
TOR3A,0.000000259
ZFP395,0.000000259
SOCS4,0.000000258
BRD8,0.000000258
MED23,0.000000258
APOBEC2,0.000000257
TBPL1,0.000000257
DCN,0.000000257
NEK7,0.000000256
KPNA1,0.000000256
PIGQ,0.000000255
ZFP346,0.000000255
BCL9L,0.000000255
ADAM32,0.000000255
MFSD4B5,0.000000254
SPAM1,0.000000253
KIF18B,0.000000253
CD164,0.000000252
KATNBL1,0.000000252
AFP,0.000000251
VPS53,0.000000251
SCEL,0.000000251
PGPEP1,0.00000025
HCRT,0.00000025
LZTS2,0.00000025
PNMA5,0.00000025
INHBC,0.000000249
CASC4,0.000000249
GSTK1,0.000000249
PTPN22,0.000000248
SH3GLB1,0.000000248
P2RY14,0.000000248
ACSM5,0.000000248
ZFP316,0.000000248
CCR8,0.000000247
TPP1,0.000000247
AMD1,0.000000246
MRC2,0.000000246
MAPK9,0.000000246
KDM4B,0.000000246
TNKS1BP1,0.000000246
LZTR1,0.000000246
STK4,0.000000245
NCOA5,0.000000245
TGIF2,0.000000245
MLANA,0.000000244
TFPI,0.000000244
GSPT1,0.000000243
STXBP3,0.000000242
GPR34,0.000000242
ZFP626,0.000000242
USP47,0.000000242
PRKD2,0.000000241
PCDHB6,0.00000024
COX6B2,0.00000024
MMP12,0.00000024
CTSD,0.000000239
HS3ST1,0.000000238
CATSPER3,0.000000238
DNTTIP1,0.000000237
IFI44,0.000000237
ZBTB17,0.000000236
PCNX2,0.000000236
CEP128,0.000000234
ZFP263,0.000000234
HELLS,0.000000233
UGCG,0.000000233
RRP1B,0.000000233
KHDRBS1,0.000000232
SPIN4,0.000000232
SPAG16,0.000000232
GOLGA2,0.000000232
DCTPP1,0.00000023
CD300LF,0.00000023
LRRC45,0.00000023
CBLN3,0.000000229
SNX30,0.000000229
UNC13D,0.000000228
WDR48,0.000000226
TMEM225,0.000000226
ADI1,0.000000226
CDK5RAP3,0.000000225
MED21,0.000000225
CTCF,0.000000224
SLCO6C1,0.000000224
PRR23A3,0.000000223
AXIN1,0.000000222
UBTD2,0.000000222
PEX5,0.000000221
GATAD2A,0.000000221
GALNT5,0.000000221
CHST12,0.000000221
AQP6,0.00000022
SUMF1,0.000000219
PPP1R14B,0.000000219
HCRTR1,0.000000218
ZMAT3,0.000000218
FGFBP3,0.000000218
ACYP1,0.000000217
GNB1,0.000000216
SORD,0.000000216
ZBTB25,0.000000216
GALNS,0.000000216
APAF1,0.000000216
ASAH1,0.000000215
FKBP7,0.000000215
PIP5K1A,0.000000215
COMMD2,0.000000215
SLX4,0.000000215
HAUS3,0.000000214
RAB13,0.000000214
TRAF4,0.000000213
TMEM131,0.000000213
ASB11,0.000000212
TMEM219,0.000000212
ST3GAL4,0.000000212
NANS,0.000000211
DIRC2,0.000000211
HTATSF1,0.00000021
NAT8F5,0.000000208
ANKEF1,0.000000208
GLB1,0.000000207
PNRC1,0.000000207
ERP44,0.000000206
PLBD2,0.000000205
PSMF1,0.000000205
CD180,0.000000204
LAMC2,0.000000203
LRRC28,0.000000203
LENG9,0.000000203
CAV3,0.000000202
FGL2,0.000000202
UBE2S,0.000000201
ZP3,0.000000201
FABP9,0.0000002
DAD1,0.0000002
HADH,0.0000002
AAK1,0.000000199
LEPROT,0.000000199
CARD19,0.000000199
SOX12,0.000000198
PCDHB8,0.000000198
G6PDX,0.000000197
TRIM34B,0.000000196
FBXL13,0.000000195
SERPINF1,0.000000194
SH3GL1,0.000000194
RPE,0.000000194
CLEC4A3,0.000000194
ZFP182,0.000000192
MLST8,0.000000191
LMNTD1,0.000000191
R3HDM4,0.000000191
IKBIP,0.00000019
SESTD1,0.00000019
STAT3,0.000000189
MAML2,0.000000189
PGM3,0.000000189
PLSCR3,0.000000189
DENND4C,0.000000189
RFC1,0.000000188
PER3,0.000000188
OAS1E,0.000000188
ANKRD28,0.000000188
RPL6,0.000000187
RBL2,0.000000187
MUC15,0.000000187
VWA8,0.000000186
EPG5,0.000000186
FXYD4,0.000000185
SZRD1,0.000000185
YTHDF1,0.000000184
IL1A,0.000000184
TRIP13,0.000000184
FGD6,0.000000183
CD274,0.000000183
FBXO21,0.000000183
GOLGA1,0.000000182
KATNA1,0.000000182
CERS2,0.000000181
TMEM177,0.000000181
SLC13A1,0.000000181
NFYB,0.000000179
CDK2AP1,0.000000179
PHF10,0.000000179
MBL2,0.000000178
PTPN2,0.000000177
AVPI1,0.000000177
TLR1,0.000000177
GM14781,0.000000177
CWF19L2,0.000000177
KANSL3,0.000000176
ZKSCAN17,0.000000176
FAM151B,0.000000175
SEC13,0.000000173
UTS2,0.000000173
ZFP553,0.000000173
PWWP2A,0.000000173
ARID1A,0.000000172
TMEM232,0.000000172
ACTL6A,0.000000171
ERO1L,0.000000171
TOB1,0.000000171
HNRNPU,0.00000017
FNDC3A,0.00000017
SF3B5,0.00000017
MYH9,0.000000169
DECR1,0.000000169
RNF169,0.000000168
PLK1,0.000000168
HMG20A,0.000000167
ZXDC,0.000000167
SLK,0.000000166
ELMO3,0.000000166
AQP7,0.000000165
PYROXD2,0.000000165
SLC35F6,0.000000164
PIGS,0.000000164
VPS8,0.000000164
LAP3,0.000000164
TVP23B,0.000000164
RBMS2,0.000000163
GTSE1,0.000000162
AEBP2,0.000000162
FAM45A,0.000000162
RNF213,0.000000161
PDIA4,0.00000016
ADGRE5,0.00000016
GALNT4,0.00000016
SFSWAP,0.00000016
TK2,0.00000016
PYGM,0.00000016
RRP9,0.00000016
HEXIM1,0.000000159
SCAF11,0.000000159
RFPL4B,0.000000159
HP,0.000000159
NUB1,0.000000158
BARD1,0.000000158
PIAS1,0.000000156
ADAMTS15,0.000000156
CD2AP,0.000000155
N6AMT1,0.000000155
PIGH,0.000000155
PLA2G1B,0.000000154
NAP1L1,0.000000154
NGDN,0.000000154
WEE1,0.000000153
HSD17B11,0.000000153
NCBP3,0.000000153
TSPAN31,0.000000152
ABCD1,0.000000152
LEMD2,0.000000152
EEF2KMT,0.000000152
MALT1,0.000000152
SPTLC1,0.000000151
NOSTRIN,0.000000151
LAMTOR5,0.00000015
FAM3A,0.00000015
PLPP6,0.00000015
CGRRF1,0.00000015
TMPRSS11F,0.00000015
EXT2,0.00000015
PFKFB4,0.00000015
XIAP,0.000000146
SERAC1,0.000000146
TMED10,0.000000145
CMC2,0.000000145
CNEP1R1,0.000000145
DND1,0.000000145
RPL10A,0.000000144
TRIQK,0.000000144
TPCN2,0.000000143
GIMAP4,0.000000143
CNTROB,0.000000143
GNA11,0.000000143
