	cluster3	cluster4	cluster5	cluster7
Regulation_of_cell_development	1	1	9.28e-08	1
Regulation_of_cell_differentiation	1	1	2.85e-21	1
Regulation_of_cell_junction_assembly	1	1	0.00071	1
Regulation_of_cell_population_proliferation	1	1	3.65e-13	1
Regulation_of_cell_proliferation_involved_in_heart_morphogenesis	1	1	0.0081	1
Regulation_of_cell_size	1	1	0.0094	1
Regulation_of_cellular_biosynthetic_process	1	1	1.44e-25	1
Regulation_of_cellular_metabolic_process	1	1	4.78e-19	1
Regulation_of_cellular_process	1	1	1.26e-21	1
Regulation_of_cellular_response_to_growth_factor_stimulus	1	1	0.0014	1
Regulation_of_developmental_growth	1	1	2.01e-07	1
Regulation_of_developmental_process	1	1	4.63e-24	1
Regulation_of_dopamine_secretion	1	1	0.0037	1
Regulation_of_epithelial_cell_differentiation	1	1	2.07e-07	1
Regulation_of_epithelial_cell_differentiation_involved_in_kidney_development	1	1	0.00075	1
Regulation_of_epithelial_cell_proliferation	1	1	1.88e-08	1
Regulation_of_epithelial_to_mesenchymal_transition	1	1	0.003	1
Regulation_of_extent_of_cell_growth	1	1	0.00061	1
Regulation_of_gene_expression	1	1	1.59e-23	1
Regulation_of_gliogenesis	1	1	0.00077	1
Regulation_of_growth	1	1	6.47e-05	1
Regulation_of_heart_contraction	1	1	4.76e-07	1
Regulation_of_heart_rate_by_cardiac_conduction	1	1	0.0092	1
Regulation_of_hormone_levels	1	1	1.43e-06	1
Regulation_of_hormone_secretion	1	1	0.00098	1
Regulation_of_ion_transmembrane_transport	1	1	3.76e-07	1
Regulation_of_ion_transmembrane_transporter_activity	1	1	0.0026	1
Regulation_of_ion_transport	1	1	1.81e-08	1
Regulation_of_kidney_development	1	1	5.84e-06	1
Regulation_of_localization	1	1	6.21e-05	1
Regulation_of_locomotion	1	1	0.0039	1
Regulation_of_macromolecule_biosynthetic_process	1	1	2.22e-25	1
Regulation_of_macromolecule_metabolic_process	1	1	3.16e-17	1
Regulation_of_membrane_potential	1	1	4.02e-05	1
Regulation_of_mesenchymal_cell_apoptotic_process	1	1	4.35e-05	1
Regulation_of_mesenchymal_cell_proliferation	1	1	0.0012	1
Regulation_of_metabolic_process	1	1	1.81e-15	1
Regulation_of_morphogenesis_of_a_branching_structure	1	1	0.00098	1
Regulation_of_morphogenesis_of_an_epithelium	1	1	0.0064	1
Regulation_of_multicellular_organismal_development	1	1	1.31e-15	1
Regulation_of_multicellular_organismal_process	1	1	9.24e-22	1
Regulation_of_muscle_system_process	1	1	0.0067	1
Regulation_of_muscle_tissue_development	1	1	0.0059	1
Regulation_of_nervous_system_development	1	1	1.44e-12	1
Regulation_of_nervous_system_process	1	1	0.0029	1
Regulation_of_neural_precursor_cell_proliferation	1	1	7.21e-05	1
Regulation_of_neurogenesis	1	1	7.35e-11	1
Regulation_of_neuron_apoptotic_process	1	1	0.0002	1
Regulation_of_neuron_death	1	1	0.0024	1
Regulation_of_neuron_differentiation	1	1	2.16e-21	1
Regulation_of_neuron_projection_development	1	1	1.2e-06	1
Regulation_of_neurotransmitter_levels	1	1	5.93e-05	1
Regulation_of_nitrogen_compound_metabolic_process	1	1	3.42e-19	1
Regulation_of_nucleobase-containing_compound_metabolic_process	1	1	1.21e-24	1
Regulation_of_odontogenesis	1	1	0.00026	1
Regulation_of_ossification	1	1	0.0047	1
Regulation_of_peptide_secretion	1	1	0.006	1
Regulation_of_plasma_membrane_bounded_cell_projection_organization	1	1	0.001	1
Regulation_of_presynapse_assembly	1	1	0.0092	1
Regulation_of_primary_metabolic_process	1	1	6.53e-18	1
Regulation_of_programmed_cell_death	1	1	2.34e-06	1
Regulation_of_respiratory_gaseous_exchange	1	1	0.00029	1
Regulation_of_response_to_stimulus	1	1	0.00024	1
Regulation_of_secretion	1	1	3.57e-05	1
Regulation_of_secretion_by_cell	1	1	0.00016	1
Regulation_of_signal_transduction	1	1	2.54e-05	1
Regulation_of_signaling	1	1	2.47e-08	1
Regulation_of_stem_cell_differentiation	1	1	0.002	1
Regulation_of_stem_cell_proliferation	1	1	0.00062	1
Regulation_of_striated_muscle_cell_apoptotic_process	1	1	0.0017	1
Regulation_of_synapse_assembly	1	1	0.00012	1
Regulation_of_synapse_organization	1	1	0.00058	1
Regulation_of_synapse_structure_or_activity	1	1	0.0004	1
Regulation_of_synaptic_plasticity	1	1	0.00036	1
Regulation_of_system_process	1	1	3.64e-11	1
Regulation_of_transcription,_DNA-templated	1	1	9.74e-33	1
Regulation_of_transcription_by_RNA_polymerase_II	1	1	1.76e-40	1
Regulation_of_transcription_regulatory_region_DNA_binding	1	1	4.62e-07	1
Regulation_of_transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway	1	1	0.00055	1
Regulation_of_transmembrane_transport	1	1	6.64e-06	1
Regulation_of_transmembrane_transporter_activity	1	1	0.00059	1
Regulation_of_transport	1	1	1.12e-06	1
Renal_system_development	1	1	5.87e-15	1
Renal_vesicle_development	1	1	0.0021	1
Reproductive_process	1	1	0.00026	1
Reproductive_structure_development	1	1	1.31e-12	1
Respiratory_system_development	1	1	1.23e-05	1
Response_to_chemical	1	1	7.68e-12	1
Response_to_endogenous_stimulus	1	1	1.41e-07	1
Response_to_external_stimulus	1	1	9.89e-06	1
Response_to_fibroblast_growth_factor	1	1	0.0018	1
Response_to_growth_factor	1	1	1.54e-08	1
Response_to_hormone	1	1	0.00084	1
Response_to_lipid	1	1	2.31e-06	1
Response_to_mechanical_stimulus	1	1	0.0037	1
Response_to_metal_ion	1	1	0.008	1
Response_to_nutrient	1	1	0.0075	1
Response_to_organic_cyclic_compound	1	1	3.24e-05	1
Response_to_organic_substance	1	1	4.32e-10	1
Response_to_oxygen-containing_compound	1	1	6.02e-06	1
Response_to_retinoic_acid	1	1	3.52e-07	1
Response_to_stimulus	1	1	1.71e-10	1
Response_to_testosterone	2.74e-05	1	1	1
Response_to_vitamin	1	1	0.0095	1
Retina_development_in_camera-type_eye	1	1	1.98e-06	1
Retina_morphogenesis_in_camera-type_eye	1	1	0.0019	1
Rhombomere_3_development	0.002	1	1	1
Rhombomere_4_development	0.0013	1	1	1
Rhombomere_development	7.21e-08	1	1	1
Roof_of_mouth_development	1	1	1.74e-10	1
Rostrocaudal_neural_tube_patterning	1	1	0.00077	1
Secretion	1	1	0.0011	1
Secretion_by_cell	1	1	0.00017	1
Segment_specification	1	1	0.005	1
Segmentation	1	1	2.05e-09	1
Semi-lunar_valve_development	1	1	4.17e-05	1
Sensory_organ_development	1	1	2.92e-33	1
Sensory_organ_morphogenesis	1	1	1.1e-20	1
Sensory_perception_of_light_stimulus	1	1	0.00019	1
Sensory_perception_of_mechanical_stimulus	1	1	0.00077	1
Sensory_perception_of_sound	1	1	0.00077	1
Sensory_system_development	1	1	1.52e-17	1
Sex_determination	1	1	0.0037	1
Sex_differentiation	1	1	2.74e-12	1
Signal_release	1	1	1.97e-07	1
Signal_transduction	1	1	2.03e-05	1
Signal_transduction_involved_in_regulation_of_gene_expression	1	1	0.001	1
Signaling	1	1	6.03e-13	1
Sinoatrial_node_development	1	1	0.00019	1
Skeletal_muscle_cell_differentiation	1	1	0.00046	1
Skeletal_muscle_organ_development	1	1	1.12e-08	1
Skeletal_muscle_tissue_development	1	1	7.72e-07	1
Skeletal_system_development	3.54e-27	1.99e-16	1.29e-16	1
Skeletal_system_morphogenesis	1	7.91e-09	1.88e-14	1
Skin_development	1	1	0.0049	1
Skin_epidermis_development	1	1	0.0025	1
Smooth_muscle_cell_differentiation	1	1	0.0043	1
Smooth_muscle_tissue_development	1	1	0.00081	1
Smoothened_signaling_pathway	1	1	0.0042	1
Social_behavior	1	1	0.0011	1
Sodium_ion_transmembrane_transport	1	1	0.00064	1
Sodium_ion_transport	1	1	0.00034	1
Somatic_stem_cell_population_maintenance	1	1	0.0063	1
Somite_development	1	1	3.05e-08	1
Somitogenesis	1	1	5.51e-05	1
Specification_of_nephron_tubule_identity	1	1	0.0024	1
Specification_of_symmetry	1	1	0.00061	1
Spinal_cord_association_neuron_differentiation	1	1	0.00012	1
Spinal_cord_development	1	1	1.7e-16	1
Spinal_cord_dorsal/ventral_patterning	1	1	0.00019	1
Spinal_cord_motor_neuron_differentiation	1	1	2.36e-06	1
Stem_cell_development	1	1	1.45e-05	1
Stem_cell_differentiation	1	1	1.43e-11	1
Stem_cell_fate_commitment	1	1	0.00052	1
Stem_cell_fate_specification	1	1	0.00055	1
Stem_cell_population_maintenance	1	1	5.52e-05	1
Stem_cell_proliferation	1	1	4.26e-05	1
Striated_muscle_adaptation	1	1	0.0039	1
Striated_muscle_cell_differentiation	1	1	3.13e-05	1
Striated_muscle_contraction	1	1	0.00067	1
Striated_muscle_tissue_development	1	1	8.2e-09	1
Sympathetic_nervous_system_development	1	1	3.24e-05	1
Synapse_maturation	1	1	0.005	1
Synapse_organization	1	1	9.81e-07	1
Synaptic_signaling	1	1	2.21e-11	1
Synaptic_vesicle_cycle	1	1	0.0071	1
System_development	1	1.06e-06	1.15e-71	1
System_process	1	1	1.42e-12	1
Telencephalon_cell_migration	1	1	0.0019	1
Telencephalon_development	1	1	2.15e-14	1
Telencephalon_regionalization	1	1	6.35e-06	1
Thyroid_gland_development	0.00082	1	1	1
Tissue_development	1	1	2.31e-42	1
Tissue_morphogenesis	1	1	4.37e-20	1
Trans-synaptic_signaling	1	1	9.05e-12	1
Transcription_by_RNA_polymerase_II	1	1	0.0011	1
Transmembrane_receptor_protein_tyrosine_kinase_signaling_pathway	1	1	0.0077	1
Transmembrane_transport	1	1	0.00019	1
Trigeminal_nerve_development	1	1	0.0045	1
Tube_development	1	1	1.16e-19	1
Tube_formation	1	1	7.38e-07	1
Tube_morphogenesis	0.0005	1	5.12e-14	1
Type_B_pancreatic_cell_differentiation	1	1	0.00029	1
Ureter_development	1	1	1.06e-07	1
Ureter_morphogenesis	1	1	0.0009	1
Ureteric_bud_development	1	1	1.2e-11	1
Ureteric_bud_morphogenesis	1	1	1.42e-09	1
Urogenital_system_development	1	1	4.38e-15	1
Uterus_development	0.0005	1	1	1
Vasculature_development	1	1	8.38e-08	1
Vasculogenesis	1	1	0.004	1
Ventral_spinal_cord_development	1	1	3.95e-10	1
Ventral_spinal_cord_interneuron_differentiation	1	1	0.00027	1
Ventral_spinal_cord_interneuron_fate_commitment	1	1	0.00077	1
Ventricular_cardiac_muscle_tissue_development	1	1	1.07e-05	1
Ventricular_cardiac_muscle_tissue_morphogenesis	1	1	0.00012	1
Ventricular_septum_development	1	1	0.00077	1
Vesicle-mediated_transport_in_synapse	1	1	0.0011	1
Visual_perception	1	1	0.00072	1
Visual_system_development	1	1	6.73e-16	1
Wnt_signaling_pathway	1	1	0.00011	1
