	cluster3	cluster5	cluster6	cluster7
Positive_regulation_of_epithelial_cell_proliferation	1	3.24e-05	1	1
Positive_regulation_of_gene_expression	1	0.00013	1	1
Positive_regulation_of_growth	1	0.0047	1	1
Positive_regulation_of_ion_transport	1	1	0.0031	1
Positive_regulation_of_macromolecule_biosynthetic_process	1	1.13e-39	1	1
Positive_regulation_of_macromolecule_metabolic_process	1	1.24e-23	1	1
Positive_regulation_of_mesenchymal_cell_proliferation	1	0.00063	1	1
Positive_regulation_of_metabolic_process	1	3.99e-24	1	1
Positive_regulation_of_molecular_function	1	0.0019	1	1
Positive_regulation_of_multicellular_organismal_process	1	4.64e-12	0.00034	1
Positive_regulation_of_nervous_system_development	1	1.74e-06	1	1
Positive_regulation_of_neural_precursor_cell_proliferation	1	7.46e-05	1	1
Positive_regulation_of_neurogenesis	1	1.99e-05	1	1
Positive_regulation_of_neuron_differentiation	1	5.99e-11	1	1
Positive_regulation_of_nitrogen_compound_metabolic_process	1	1.33e-25	1	1
Positive_regulation_of_nucleobase-containing_compound_metabolic_process	1	2.64e-38	1	1
Positive_regulation_of_organ_growth	1	0.0045	1	1
Positive_regulation_of_ossification	1	0.0048	1	1
Positive_regulation_of_programmed_cell_death	1	0.0011	1	1
Positive_regulation_of_response_to_stimulus	1	0.00063	1	1
Positive_regulation_of_secretion	1	0.0096	1	1
Positive_regulation_of_signal_transduction	1	8.33e-05	1	1
Positive_regulation_of_signaling	1	2.6e-06	0.0043	1
Positive_regulation_of_stem_cell_proliferation	1	0.0022	1	1
Positive_regulation_of_transcription,_DNA-templated	2.74e-15	5.23e-47	1	1
Positive_regulation_of_transcription_by_RNA_polymerase_II	1.04e-16	4.03e-48	1	1
Positive_regulation_of_transcription_regulatory_region_DNA_binding	1	0.00098	1	1
Positive_regulation_of_transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway	1	0.0061	1	1
Potassium_ion_homeostasis	1	0.0057	1	1
Potassium_ion_import_across_plasma_membrane	1	0.005	1	1
Potassium_ion_transmembrane_transport	1	4.3e-07	2.29e-08	1
Potassium_ion_transport	1	4.01e-07	3.56e-08	1
Preganglionic_parasympathetic_fiber_development	1	0.004	1	1
Primitive_streak_formation	1	0.0048	1	1
Programmed_cell_death	1	0.0051	1	1
Prostate_gland_development	7.08e-08	1	1	1
Proximal/distal_pattern_formation	1.32e-08	5.25e-05	1	1
Regionalization	2.34e-34	6.06e-42	1	1
Regulation_of_BMP_signaling_pathway	1	1.76e-05	1	1
Regulation_of_DNA-binding_transcription_factor_activity	1	2.97e-05	1	1
Regulation_of_DNA_binding	1	1.05e-06	1	1
Regulation_of_Notch_signaling_pathway	1	0.0009	1	1
Regulation_of_RNA_metabolic_process	1	1.44e-39	1	1
Regulation_of_Wnt_signaling_pathway	1	0.0013	1	1
Regulation_of_amacrine_cell_differentiation	1	0.0086	1	1
Regulation_of_amine_transport	1	0.0009	1	1
Regulation_of_anatomical_structure_morphogenesis	1	1.68e-09	1	1
Regulation_of_anatomical_structure_size	1	0.0043	1	1
Regulation_of_animal_organ_formation	1	0.00028	1	1
Regulation_of_animal_organ_morphogenesis	1	2.54e-08	1	1
Regulation_of_apoptotic_process	1	2.62e-08	1	1
Regulation_of_axon_extension	1	6.27e-05	1	1
Regulation_of_axonogenesis	1	0.00065	1	1
Regulation_of_binding	1	0.0014	1	1
Regulation_of_biological_process	1	1.06e-21	1.25e-05	1
Regulation_of_biological_quality	1	4.26e-16	1.36e-10	1
Regulation_of_biosynthetic_process	1	8.07e-35	1	1
Regulation_of_blood_circulation	1	3.94e-05	1	1
Regulation_of_blood_pressure	1	1	0.00014	1
Regulation_of_branching_involved_in_ureteric_bud_morphogenesis	1	0.0022	1	1
Regulation_of_calcium_ion-dependent_exocytosis	1	0.0008	1	1
Regulation_of_canonical_Wnt_signaling_pathway	1	0.0032	1	1
Regulation_of_cardiac_muscle_cell_apoptotic_process	1	0.0016	1	1
Regulation_of_cardiocyte_differentiation	1	0.0069	1	1
Regulation_of_catecholamine_secretion	1	0.0017	1	1
Regulation_of_cation_transmembrane_transport	1	1	0.0014	1
Regulation_of_cell-cell_adhesion_mediated_by_cadherin	1	0.0091	1	1
Regulation_of_cell_communication	1	3.4e-10	1.29e-06	1
Regulation_of_cell_death	1	1.15e-07	1	1
Regulation_of_cell_development	1	2.3e-08	1	1
Regulation_of_cell_differentiation	1	1.01e-23	0.0025	1
Regulation_of_cell_growth	1	0.0058	1	1
Regulation_of_cell_junction_assembly	1	0.0054	1	1
Regulation_of_cell_population_proliferation	1	1.64e-14	3.64e-05	1
Regulation_of_cell_proliferation_involved_in_heart_morphogenesis	1	0.0014	1	1
Regulation_of_cell_size	1	0.0048	1	1
Regulation_of_cellular_biosynthetic_process	1	2.69e-35	1	1
Regulation_of_cellular_metabolic_process	1	9.27e-27	1	1
Regulation_of_cellular_process	1	3.33e-23	3e-05	1
Regulation_of_cellular_response_to_growth_factor_stimulus	1	0.00014	1	1
Regulation_of_developmental_growth	1	3.48e-07	0.0031	1
Regulation_of_developmental_process	1	1.06e-26	2.35e-05	1
Regulation_of_dopamine_secretion	1	0.0016	1	1
Regulation_of_dopaminergic_neuron_differentiation	1	0.0083	1	1
Regulation_of_epithelial_cell_differentiation	1	1.12e-07	1	1
Regulation_of_epithelial_cell_differentiation_involved_in_kidney_development	1	0.00063	1	1
Regulation_of_epithelial_cell_proliferation	1	1.09e-10	1	1
Regulation_of_epithelial_to_mesenchymal_transition	1	7.89e-05	1	1
Regulation_of_gene_expression	1	6.53e-31	1	1
Regulation_of_glial_cell_differentiation	1	0.0037	1	1
Regulation_of_gliogenesis	1	0.00051	1	1
Regulation_of_growth	1	8.45e-05	0.0059	1
Regulation_of_heart_contraction	1	6.96e-06	1	1
Regulation_of_heart_rate	1	0.0058	1	1
Regulation_of_heart_rate_by_cardiac_conduction	1	0.0039	1	1
Regulation_of_hormone_levels	1	2.23e-06	0.0087	1
Regulation_of_hormone_secretion	1	0.00072	1	1
Regulation_of_insulin_secretion	1	0.0097	1	1
Regulation_of_ion_transmembrane_transport	1	7.94e-05	7.29e-09	1
Regulation_of_ion_transport	1	5e-07	1.04e-10	1
Regulation_of_kidney_development	1	8.99e-07	1	1
Regulation_of_localization	1	4.54e-05	7.3e-07	1
Regulation_of_locomotion	1	0.0038	1	1
Regulation_of_macromolecule_biosynthetic_process	1	3.84e-35	1	1
Regulation_of_macromolecule_metabolic_process	1	9.88e-22	1	1
Regulation_of_membrane_potential	1	3.72e-06	0.0011	1
Regulation_of_mesenchymal_cell_apoptotic_process	1	0.00024	1	1
Regulation_of_mesenchymal_cell_proliferation	1	1.67e-05	1	1
Regulation_of_mesonephros_development	1	0.0058	1	1
Regulation_of_metabolic_process	1	1.74e-20	1	1
Regulation_of_miRNA_metabolic_process	1	0.0099	1	1
Regulation_of_molecular_function	1	0.0072	1	1
Regulation_of_morphogenesis_of_a_branching_structure	1	4.51e-05	1	1
Regulation_of_morphogenesis_of_an_epithelium	1	0.00037	1	1
Regulation_of_multicellular_organismal_development	1	8.56e-15	4.88e-05	1
Regulation_of_multicellular_organismal_process	1	1.8e-22	3.56e-08	1
Regulation_of_muscle_cell_apoptotic_process	1	0.0058	1	1
Regulation_of_muscle_tissue_development	1	0.0072	1	1
Regulation_of_nervous_system_development	1	4.69e-11	0.00069	1
Regulation_of_neural_precursor_cell_proliferation	1	6.56e-07	1	1
Regulation_of_neuroblast_proliferation	1	0.0097	1	1
Regulation_of_neurogenesis	1	1.3e-10	1	1
Regulation_of_neuron_apoptotic_process	1	8.38e-06	1	1
Regulation_of_neuron_death	1	7.95e-06	1	1
Regulation_of_neuron_differentiation	1	1.58e-25	1	1
Regulation_of_neuron_projection_development	1	9.6e-08	1	1
Regulation_of_neurotransmitter_levels	1	1.35e-05	1	1
Regulation_of_nitrogen_compound_metabolic_process	1	2.15e-24	1	1
Regulation_of_nucleobase-containing_compound_metabolic_process	1	2.25e-34	1	1
Regulation_of_odontogenesis	1	0.00017	1	1
Regulation_of_oligodendrocyte_differentiation	1	0.005	1	1
Regulation_of_ossification	1	0.007	1	1
Regulation_of_osteoblast_differentiation	1	0.0098	1	1
Regulation_of_peptide_secretion	1	0.0059	1	1
Regulation_of_plasma_membrane_bounded_cell_projection_organization	1	4e-05	1	1
Regulation_of_postsynaptic_membrane_potential	1	1	0.0024	1
Regulation_of_primary_metabolic_process	1	5.69e-23	1	1
Regulation_of_programmed_cell_death	1	2.17e-08	1	1
Regulation_of_prostatic_bud_formation	1	0.0086	1	1
Regulation_of_response_to_stimulus	1	5.59e-06	0.0016	1
Regulation_of_secondary_heart_field_cardioblast_proliferation	1	0.0048	1	1
Regulation_of_secretion	1	1.04e-05	0.0015	1
Regulation_of_secretion_by_cell	1	6.41e-05	0.0087	1
Regulation_of_signal_transduction	1	1.69e-06	0.0013	1
Regulation_of_signaling	1	4.66e-10	1.29e-06	1
Regulation_of_skeletal_muscle_tissue_development	1	0.0081	1	1
Regulation_of_stem_cell_differentiation	1	0.0075	1	1
Regulation_of_stem_cell_proliferation	1	0.00019	1	1
Regulation_of_striated_muscle_cell_apoptotic_process	1	0.00057	1	1
Regulation_of_synapse_assembly	1	0.00062	1	1
Regulation_of_synapse_organization	1	0.0081	1	1
Regulation_of_synapse_structure_or_activity	1	0.0051	1	1
Regulation_of_synaptic_plasticity	1	7.75e-05	1	1
Regulation_of_system_process	1	1.68e-09	1.77e-05	1
Regulation_of_thyroid_hormone_generation	1	0.0086	1	1
Regulation_of_transcription,_DNA-templated	1	3.06e-43	1	1
Regulation_of_transcription_by_RNA_polymerase_II	1	3.22e-52	1	1
Regulation_of_transcription_regulatory_region_DNA_binding	1	1.1e-07	1	1
Regulation_of_transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway	1	7.96e-05	1	1
Regulation_of_transmembrane_transport	1	0.00032	1.33e-08	1
Regulation_of_transmembrane_transporter_activity	1	0.0098	0.0087	1
Regulation_of_transport	1	3.29e-06	2.63e-08	1
Renal_system_development	1	4.88e-18	1	1
Renal_tubule_development	1	1.56e-14	1	1
Renal_tubule_morphogenesis	1	5.77e-13	1	1
Renal_vesicle_development	1	0.00034	1	1
Reproductive_process	1	0.00033	1	1
Reproductive_structure_development	0.001	6.27e-12	1	1
Respiratory_system_development	1	3.06e-07	1	1
Response_to_abiotic_stimulus	1	0.0055	1	1
Response_to_amine	1	0.0064	1	1
Response_to_chemical	1	1.09e-18	1	1
Response_to_endogenous_stimulus	1	3.39e-12	1	1
Response_to_estradiol	1	0.00035	1	1
Response_to_external_stimulus	1	7.7e-08	1	1
Response_to_fibroblast_growth_factor	1	4.38e-05	1	1
Response_to_growth_factor	1	6.67e-12	1	1
Response_to_hormone	1	2.96e-05	1	1
Response_to_inorganic_substance	1	0.0018	1	1
Response_to_lipid	0.0064	4.6e-08	1	1
Response_to_mechanical_stimulus	1	0.0049	1	1
Response_to_metal_ion	1	0.0016	1	1
Response_to_nitrogen_compound	1	0.0018	1	1
Response_to_nutrient	1	0.0068	1	1
Response_to_organic_cyclic_compound	1	4.48e-07	1	1
Response_to_organic_substance	1	1.39e-13	1	1
Response_to_organonitrogen_compound	1	0.00064	1	1
Response_to_oxygen-containing_compound	1	2.55e-07	1	1
Response_to_retinoic_acid	1	4.77e-10	1	1
Response_to_stimulus	1	1.63e-11	7.04e-05	1
Response_to_testosterone	3.5e-08	1	1	1
Response_to_vitamin	1	0.0053	1	1
Response_to_wounding	1	0.0056	1	1
Response_to_xenobiotic_stimulus	1	0.0047	1	1
Retina_development_in_camera-type_eye	1	8.95e-08	1	1
Retina_layer_formation	1	0.0058	1	1
Retina_morphogenesis_in_camera-type_eye	1	0.0012	1	1
Retinal_ganglion_cell_axon_guidance	1	0.0075	1	1
Rhombomere_3_development	0.004	1	1	1
Rhombomere_4_development	0.0025	1	1	1
Rhombomere_development	4.72e-07	1	1	1
Roof_of_mouth_development	1	1.31e-11	1	1
Rostrocaudal_neural_tube_patterning	1	0.00092	1	1
Second-messenger-mediated_signaling	1	1	0.00032	1
Secretion	1	0.0068	1	1
Secretion_by_cell	1	0.0013	1	1
Segmentation	1	6.75e-10	1	1
Sensory_organ_development	1	2.97e-37	1	1
Sensory_organ_morphogenesis	1	3.59e-23	1	1
Sensory_perception_of_light_stimulus	1	0.00033	1	1
Sensory_perception_of_mechanical_stimulus	1	0.00025	1	1
Sensory_perception_of_sound	1	0.00038	1	1
Sensory_system_development	1	5.04e-21	1	1
Sex_differentiation	1	4.41e-10	1	1
Signal_release	1	4.66e-06	1	1
Signal_transduction	1	0.00092	1.44e-07	1
Signal_transduction_involved_in_regulation_of_gene_expression	1	0.0034	1	1
Signaling	1	8.8e-10	5.29e-13	1
Single_fertilization	0.00097	1	1	1
Sinoatrial_node_cell_development	1	0.0058	1	1
Sinoatrial_node_development	1	0.00017	1	1
Skeletal_muscle_cell_differentiation	1	1.63e-05	1	1
Skeletal_muscle_organ_development	1	1.06e-09	1	1
Skeletal_muscle_tissue_development	1	5.73e-08	1	1
Skeletal_system_development	2.34e-34	1.46e-19	1	8.71e-06
Skeletal_system_morphogenesis	1.01e-31	4.54e-17	1	1
Skin_development	1	0.0031	0.0082	1
Smooth_muscle_cell_differentiation	1	0.0004	1	1
Smooth_muscle_tissue_development	1	0.0028	1	1
Smoothened_signaling_pathway	1	0.0016	1	1
Sodium_ion_transmembrane_transport	1	0.00026	0.00063	1
Sodium_ion_transport	1	0.00042	0.00019	1
Somite_development	1	3.76e-08	1	1
Somitogenesis	1	7.96e-05	1	1
Specification_of_animal_organ_identity	1	0.0061	1	1
Specification_of_nephron_tubule_identity	1	0.0058	1	1
Specification_of_symmetry	1	0.00016	1	1
Spinal_cord_association_neuron_differentiation	1	1.32e-05	1	1
Spinal_cord_development	1	4.06e-17	1	1
Spinal_cord_dorsal/ventral_patterning	1	1.69e-05	1	1
Spinal_cord_motor_neuron_cell_fate_specification	1	0.0035	1	1
Spinal_cord_motor_neuron_differentiation	1	3.77e-07	1	1
Spleen_development	1	0.0016	1	1
Stem_cell_development	1	1.81e-06	1	1
Stem_cell_differentiation	1	1.27e-13	1	1
Stem_cell_fate_commitment	1	0.0048	1	1
Stem_cell_fate_specification	1	0.0086	1	1
Stem_cell_population_maintenance	1	0.00056	1	1
Stem_cell_proliferation	1	8.95e-08	1	1
Striated_muscle_cell_differentiation	1	9.19e-08	1	1
Striated_muscle_cell_proliferation	1	0.0069	1	1
Striated_muscle_contraction	1	0.0083	1	1
Striated_muscle_tissue_development	1	2.23e-10	1	1
Supramolecular_fiber_organization	1	0.0061	1	1
Sympathetic_nervous_system_development	1	7.91e-05	1	1
Synapse_organization	1	4.64e-07	0.004	1
Synaptic_signaling	1	1.45e-08	2.7e-08	1
Synaptic_vesicle_cycle	1	0.004	1	1
System_development	1.15e-16	2.25e-74	4.4e-11	1
System_process	1	2.97e-11	6.41e-09	1
Telencephalon_cell_migration	1	0.0012	1	1
Telencephalon_development	1	9.97e-19	1	1
Telencephalon_regionalization	1	3.61e-07	1	1
Thymus_development	1	0.00064	1	1
Thyroid_gland_development	4.26e-05	1	1	1
Tissue_development	4.39e-06	4.94e-47	3.56e-08	1
Tissue_morphogenesis	1	2.41e-24	1	1
Tongue_development	1	0.0018	1	1
Trans-synaptic_signaling	1	1	1.71e-08	1
Transcription,_DNA-templated	1	0.0011	1	1
Transcription_by_RNA_polymerase_II	1	5.7e-05	1	1
Transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway	1	0.0032	1	1
Transmembrane_receptor_protein_tyrosine_kinase_signaling_pathway	1	0.0092	1	1
Transmembrane_transport	1	0.0002	4.08e-08	1
Trigeminal_nerve_development	1	0.00092	1	1
Tube_development	1	2.61e-24	1	1
Tube_formation	1	3.38e-08	1	1
Tube_morphogenesis	1.25e-06	6.94e-17	1	1
Type_B_pancreatic_cell_differentiation	1	0.00013	1	1
Ureter_development	1	2.55e-08	1	1
Ureter_morphogenesis	1	0.0016	1	1
Ureteric_bud_development	1	7.66e-13	1	1
Ureteric_bud_morphogenesis	1	8.27e-10	1	1
Urogenital_system_development	0.00024	4.3e-18	1	1
Uterus_development	0.0017	1	1	1
Vasculogenesis	1	0.0076	1	1
Ventral_spinal_cord_development	1	6.92e-12	1	1
Ventral_spinal_cord_interneuron_differentiation	1	3.05e-05	1	1
Ventral_spinal_cord_interneuron_fate_commitment	1	0.00011	1	1
Ventricular_cardiac_muscle_tissue_development	1	4e-06	1	1
Ventricular_cardiac_muscle_tissue_morphogenesis	1	8.67e-05	1	1
Ventricular_septum_development	1	2.01e-05	1	1
Ventricular_septum_morphogenesis	1	0.00017	1	1
Vesicle-mediated_transport_in_synapse	1	0.0029	1	1
Visual_perception	1	0.00066	1	1
Visual_system_development	1	5.86e-19	1	1
Wnt_signaling_pathway	1	2.34e-05	1	1
Wnt_signaling_pathway_involved_in_midbrain_dopaminergic_neuron_differentiation	1	0.0048	1	1
