	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7
System_development	1.53e-44	2.41e-07	1	2.75e-06	0.0013	7.39e-08	1
System_process	9.19e-05	1	1	1	1	0.00055	1
Telencephalon_cell_migration	0.0014	1	1	1	1	1	1
Telencephalon_development	1.11e-12	0.0036	1	1	1	1	1
Telencephalon_regionalization	9.18e-05	1	1	1	1	1	1
Tissue_development	8.74e-27	6.35e-10	1	1	1	3.49e-08	1
Tissue_morphogenesis	3.36e-10	0.00073	1	1	1	0.0013	1
Transcription,_DNA-templated	4.45e-05	1	1	1	1	1	1
Transcription_by_RNA_polymerase_II	5.04e-06	1	1	1	1	1	1
Trigeminal_nerve_development	0.0021	1	1	1	1	1	1
Tube_development	6.3e-19	2.02e-05	1	1	1	0.0076	1
Tube_morphogenesis	2.32e-07	0.00023	1	1	1	0.0047	1
Type_B_pancreatic_cell_differentiation	0.00064	1	1	1	1	1	1
Type_B_pancreatic_cell_proliferation	0.00011	1	1	1	1	1	1
Ureter_development	0.00021	1	1	1	1	1	1
Ureteric_bud_development	2.7e-06	1	1	1	1	1	1
Ureteric_bud_morphogenesis	1	0.0023	1	1	1	1	1
Ureteric_peristalsis	0.0062	1	1	1	1	1	1
Urogenital_system_development	6.2e-08	1	1	1	1	0.0036	1
Ventral_spinal_cord_development	2.98e-14	1	1	1	1	1	1
Ventral_spinal_cord_interneuron_fate_commitment	5.5e-05	1	1	1	1	1	1
Ventricular_cardiac_muscle_tissue_development	0.0095	1	1	1	1	1	1
Ventricular_septum_morphogenesis	1	0.00065	1	1	1	1	1
Visceral_motor_neuron_differentiation	0.0097	1	1	1	1	1	1
Visual_perception	0.0014	1	1	1	1	1	1
Wnt_signaling_pathway_involved_in_midbrain_dopaminergic_neuron_differentiation	1	1	1	1	1	0.0087	1
